fp_name,sv_scale,fpsim_position,surr_position,prior_adjust,pow_trans,alt_source,alt_prior,alt_prior_unc,surr_name,scene_group
EOF order 2 scale factor A-Band,1.0,48,-1,No,1,NA,NA,-1,NA,NA
EOF order 3 scale factor A-Band,1.0,49,-1,No,1,NA,NA,-1,NA,NA
EOF order 1 scale factor WC-Band,1.0,50,-1,No,1,NA,NA,-1,NA,NA
EOF order 2 scale factor WC-Band,1.0,51,-1,No,1,NA,NA,-1,NA,NA
EOF order 3 scale factor WC-Band,1.0,52,-1,No,1,NA,NA,-1,NA,NA
EOF order 1 scale factor SC-Band,1.0,53,-1,No,1,NA,NA,-1,NA,NA
EOF order 2 scale factor SC-Band,1.0,54,-1,No,1,NA,NA,-1,NA,NA
EOF order 3 scale factor SC-Band,1.0,55,-1,No,1,NA,NA,-1,NA,NA
Fluorescence Surface Coefficient 1,1.0e-18,56,-1,Yes,1,NA,NA,-1,NA,/Fluorescence
Fluorescence Surface Coefficient 2,1.0,57,-1,Yes,1,NA,NA,-1,NA,/Fluorescence
